# CS_ID, depth (m)
 1,    286.12
 2,    363.28
 3,    394.02
 4,    462.97
 5,    510.24
 6,    621.58
 7,    644.70
 8,    714.99
 9,    753.96
10,    842.63
11,    892.37
12,    938.98
