# CS_ID, depth (m)
 1,    280.84
 2,    351.12
 3,    418.20
 4,    447.62
 5,    558.80
 6,    563.79
 7,    673.22
 8,    739.56
 9,    754.84
10,    849.90
11,    921.97
12,    997.50
