# CS_ID, depth (m)
 1,    276.64
 2,    359.04
 3,    419.71
 4,    452.91
 5,    549.76
 6,    594.48
 7,    677.34
 8,    700.04
 9,    771.69
10,    831.45
11,    908.85
12,    984.39
