# CS_ID, depth (m)
 1,    273.65
 2,    321.61
 3,    420.04
 4,    459.16
 5,    529.36
 6,    607.68
 7,    659.40
 8,    737.75
 9,    754.94
10,    819.95
11,    922.51
12,    956.43
