# Easting,Northing,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21,t=22,t=23,t=24,t=25,t=26,t=27,t=32,t=37,t=42,t=47,t=52,t=57,t=62,t=67,t=72,t=77,t=82,t=87,t=92,t=97,t=102,t=107
 402645.95,6422241.31,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.43257e-26,-7.11176e-23,-8.77467e-17,-1.10053e-13,-8.66605e-12,-1.71931e-10,-1.55377e-09,-8.56823e-09,-3.38183e-08,-4.61967e-07,-1.27405e-06,-3.07415e-06,-6.35920e-06,-1.27016e-05,-2.31790e-05,-3.97175e-05,-6.46500e-05,-1.02304e-04,-1.54920e-04,-2.27406e-04,-1.08990e-03,-3.35267e-03,-7.61321e-03,-1.40227e-02,-2.23229e-02,-3.20447e-02,-4.26812e-02,-5.37822e-02,-6.49884e-02,-7.60323e-02,-8.67259e-02,-9.69444e-02,-1.06611e-01,-1.15685e-01,-1.24151e-01,-1.32010e-01
 403256.35,6423427.24,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-7.19952e-23,-1.53486e-17,-8.19208e-13,-2.15487e-10,-6.77719e-09,-7.37522e-08,-4.36058e-07,-1.74855e-06,-5.37087e-06,-1.38425e-05,-3.05934e-05,-6.07464e-05,-1.10693e-04,-1.88880e-04,-3.04982e-04,-4.71011e-04,-7.01075e-04,-1.01211e-03,-1.42077e-03,-1.94566e-03,-6.89169e-03,-1.65733e-02,-3.08145e-02,-4.83019e-02,-6.74868e-02,-8.70948e-02,-1.06244e-01,-1.24393e-01,-1.41247e-01,-1.56678e-01,-1.70662e-01,-1.83240e-01,-1.94485e-01,-2.04490e-01,-2.13354e-01,-2.21217e-01
 403727.24,6422904.04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.62403e-07,-7.60275e-07,-1.91331e-06,-4.07504e-06,-8.39233e-06,-1.57003e-05,-2.74848e-05,-4.55762e-05,-7.33160e-05,-1.12661e-04,-1.67574e-04,-8.46801e-04,-2.71290e-03,-6.36063e-03,-1.20145e-02,-1.95117e-02,-2.84610e-02,-3.84039e-02,-4.89135e-02,-5.96360e-02,-7.02996e-02,-8.07064e-02,-9.07200e-02,-1.00252e-01,-1.09249e-01,-1.17685e-01,-1.25552e-01
 404651.57,6423427.24,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.94634e-08,-9.88517e-08,-2.81317e-07,-6.76484e-07,-1.51543e-06,-3.07627e-06,-5.80135e-06,-1.02921e-05,-1.74601e-05,-2.82757e-05,-4.41276e-05,-2.69927e-04,-1.00522e-03,-2.66747e-03,-5.57809e-03,-9.84909e-03,-1.53944e-02,-2.20035e-02,-2.94158e-02,-3.73712e-02,-4.56373e-02,-5.40205e-02,-6.23667e-02,-7.05584e-02,-7.85088e-02,-8.61567e-02,-9.34538e-02
 404180.68,6427089.68,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.48925e-22,-2.82877e-15,-2.53415e-11,-2.87355e-09,-5.59795e-08,-4.48500e-07,-2.14357e-06,-7.34113e-06,-1.99615e-05,-4.64701e-05,-9.50345e-05,-1.77065e-04,-3.06089e-04,-4.99551e-04,-7.77119e-04,-1.16292e-03,-1.68444e-03,-2.37354e-03,-3.25927e-03,-4.37286e-03,-1.42140e-02,-3.20924e-02,-5.69853e-02,-8.62983e-02,-1.17367e-01,-1.48152e-01,-1.77336e-01,-2.04182e-01,-2.28361e-01,-2.49802e-01,-2.68590e-01,-2.84892e-01,-2.98917e-01,-3.10887e-01,-3.21020e-01,-3.29528e-01
 404494.61,6424927.10,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.51707e-23,-6.50193e-19,-6.94399e-14,-2.71194e-11,-1.10364e-09,-1.43976e-08,-9.74107e-08,-4.33893e-07,-1.45088e-06,-4.26032e-06,-1.00893e-05,-2.12792e-05,-4.07100e-05,-7.28817e-05,-1.22595e-04,-1.96235e-04,-3.01468e-04,-4.48624e-04,-6.46963e-04,-9.08576e-04,-3.60304e-03,-9.53494e-03,-1.91989e-02,-3.21327e-02,-4.73746e-02,-6.39057e-02,-8.08721e-02,-9.76419e-02,-1.13787e-01,-1.29040e-01,-1.43252e-01,-1.56357e-01,-1.68342e-01,-1.79234e-01,-1.89079e-01,-1.97957e-01
 403657.48,6425066.62,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-3.89297e-20,-2.32148e-12,-2.77696e-09,-1.15830e-07,-1.24084e-06,-6.65591e-06,-2.37348e-05,-6.47652e-05,-1.46906e-04,-2.92408e-04,-5.27951e-04,-8.84203e-04,-1.39575e-03,-2.10412e-03,-3.05790e-03,-4.31038e-03,-5.91464e-03,-7.91962e-03,-1.03637e-02,-1.32744e-02,-3.49891e-02,-6.65988e-02,-1.03286e-01,-1.40644e-01,-1.75940e-01,-2.07852e-01,-2.35936e-01,-2.60222e-01,-2.80969e-01,-2.98525e-01,-3.13262e-01,-3.25536e-01,-3.35673e-01,-3.43962e-01,-3.50659e-01,-3.56015e-01
 404285.32,6426304.87,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.15707e-21,-3.42227e-15,-2.73873e-11,-2.94471e-09,-5.56637e-08,-4.37480e-07,-2.06303e-06,-6.99454e-06,-1.88698e-05,-4.35948e-05,-8.86664e-05,-1.64424e-04,-2.83115e-04,-4.60401e-04,-7.14034e-04,-1.06569e-03,-1.53999e-03,-2.16520e-03,-2.96723e-03,-3.97353e-03,-1.28101e-02,-2.87469e-02,-5.08423e-02,-7.68309e-02,-1.04419e-01,-1.31860e-01,-1.58017e-01,-1.82245e-01,-2.04239e-01,-2.23917e-01,-2.41326e-01,-2.56594e-01,-2.69882e-01,-2.81367e-01,-2.91228e-01,-2.99660e-01
 403552.84,6426479.27,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.27083e-16,-4.24266e-10,-1.11213e-07,-2.17194e-06,-1.47348e-05,-5.80313e-05,-1.64706e-04,-3.76794e-04,-7.44686e-04,-1.32743e-03,-2.18892e-03,-3.39666e-03,-5.03253e-03,-7.19818e-03,-1.00018e-02,-1.35400e-02,-1.78874e-02,-2.30917e-02,-2.91696e-02,-3.61098e-02,-8.20764e-02,-1.39700e-01,-1.99233e-01,-2.54501e-01,-3.02823e-01,-3.43591e-01,-3.77193e-01,-4.04414e-01,-4.26138e-01,-4.43214e-01,-4.56398e-01,-4.66343e-01,-4.73602e-01,-4.78637e-01,-4.81833e-01,-4.83521e-01
 398198.71,6420846.10,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-4.05821e-11,-2.07562e-10,-8.43304e-10,-2.82250e-09,-8.22633e-09,-2.12231e-08,-4.96042e-08,-1.06772e-07,-2.14506e-07,-4.06025e-07,-7.30339e-07,-7.82346e-06,-4.45048e-05,-1.67578e-04,-4.70436e-04,-1.06510e-03,-2.05492e-03,-3.51346e-03,-5.47581e-03,-7.94044e-03,-1.08767e-02,-1.42340e-02,-1.79504e-02,-2.19596e-02,-2.61952e-02,-3.05948e-02,-3.51001e-02
