ElementID, Easting, Northing,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21,t=22,t=23,t=24,t=25,t=26,t=27,t=32,t=37,t=42,t=47,t=52,t=57,t=62,t=67,t=72,t=77,t=82,t=87,t=92,t=97,t=102,t=107
GW023084_ECON_16,3.997730e+05,6.456199e+06,-9.107423e-65,-1.694035e-64,-3.561616e-64,-7.511815e-64,-2.390000e-63,-6.804797e-63,2.428591e-62,2.886672e-61,-1.320108e-57,4.499533e-22,1.416706e-21,3.011932e-21,4.572893e-21,4.359583e-21,4.860434e-22,-3.042170e-21,2.381692e-20,1.857377e-19,7.182483e-19,1.952943e-18,3.641172e-18,1.844430e-18,-2.153789e-17,-1.287883e-16,-5.031325e-16,-1.628593e-15,-4.682748e-15,-8.713246e-08,-3.140072e-06,-3.076146e-05,-1.490296e-04,-4.717910e-04,-1.128220e-03,-2.220875e-03,-3.802786e-03,-5.876864e-03,-8.407439e-03,-1.133471e-02,-1.458729e-02,-1.809140e-02,-2.177678e-02,-2.558162e-02,-2.944904e-02
GW024723_ECON_113,4.018290e+05,6.460592e+06,-1.362017e-51,-7.128860e-51,-7.110452e-51,1.375732e-49,-1.583813e-48,-7.976711e-47,-6.174331e-43,-1.514638e-39,-7.069938e-37,1.022281e-26,2.029037e-26,3.571697e-26,4.373012e-26,3.108975e-26,-1.773702e-26,-1.113074e-25,-2.354960e-25,-4.191032e-25,-7.275555e-25,-1.279103e-24,-1.547132e-24,4.812878e-24,6.491182e-23,3.979792e-21,2.206610e-19,5.071801e-18,6.263027e-17,1.840526e-13,1.462587e-11,9.106011e-11,-3.397150e-09,-5.471372e-08,-3.906392e-07,-1.787070e-06,-6.051496e-06,-1.645589e-05,-3.788709e-05,-7.662790e-05,-1.398445e-04,-2.349397e-04,-3.689283e-04,-5.479382e-04,-7.768683e-04
GW030964_ECON_108,4.016420e+05,6.460929e+06,-5.272694e-53,-3.522205e-52,-1.171804e-51,2.746214e-51,3.606063e-51,-1.435081e-48,-2.329320e-45,-9.833225e-42,-6.986495e-39,1.134314e-27,3.223820e-27,7.042159e-27,1.172644e-26,1.505751e-26,1.287057e-26,-2.041941e-28,-2.769036e-26,-7.203649e-26,-1.427698e-25,-2.639651e-25,-4.593188e-25,-3.929897e-25,2.700953e-24,6.719345e-23,4.277637e-21,1.322074e-19,2.062715e-18,2.055957e-14,2.592914e-12,3.649116e-11,-4.646799e-10,-1.195448e-08,-1.041509e-07,-5.475907e-07,-2.068788e-06,-6.157486e-06,-1.530247e-05,-3.305000e-05,-6.385563e-05,-1.127755e-04,-1.850800e-04,-2.858722e-04,-4.197607e-04
GW030965_ECON_111,4.019310e+05,6.460932e+06,-4.218821e-52,-2.440545e-51,-5.286043e-51,3.566165e-50,-2.105564e-49,-1.686482e-47,-7.284601e-44,-2.228873e-40,-1.234496e-37,5.644046e-27,1.376726e-26,2.675614e-26,3.856541e-26,3.960218e-26,1.610751e-26,-4.529784e-26,-1.460649e-25,-2.877021e-25,-4.782376e-25,-7.542557e-25,-1.014718e-24,7.100841e-25,1.824274e-23,8.105171e-22,5.090665e-20,1.327924e-18,1.807533e-17,7.483222e-14,7.559958e-12,1.120517e-10,-3.133456e-10,-1.548467e-08,-1.383520e-07,-7.171623e-07,-2.655824e-06,-7.751673e-06,-1.892568e-05,-4.023744e-05,-7.667183e-05,-1.337644e-04,-2.171639e-04,-3.322213e-04,-4.836534e-04
GW032846_ECON_22,3.994990e+05,6.420443e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.329206e-37,8.200958e-37,1.160615e-36,9.992398e-37,6.113563e-37,1.155272e-37,-6.361102e-37,-4.818875e-11,-2.348691e-10,-9.232697e-10,-3.025685e-09,-8.697170e-09,-2.215258e-08,-5.113831e-08,-1.088202e-07,-2.164447e-07,-4.060787e-07,-7.246158e-07,-7.523863e-06,-4.190274e-05,-1.555041e-04,-4.322151e-04,-9.715824e-04,-1.864172e-03,-3.172973e-03,-4.926381e-03,-7.120591e-03,-9.726831e-03,-1.269973e-02,-1.598480e-02,-1.952429e-02,-2.326120e-02,-2.714198e-02,-3.111445e-02
GW032911_ECON_116,4.022720e+05,6.406827e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.650523e-24,3.647862e-15
GW047793_ECON_2,4.029360e+05,6.408343e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.110009e-23,-4.714932e-13
GW047870_ECON_120,3.998050e+05,6.434366e+06,-9.750217e-41,-9.057538e-40,-1.000572e-38,-1.898777e-34,-2.329413e-30,-1.450530e-27,-1.628157e-25,-6.232501e-24,-1.160412e-22,-4.691590e-19,5.115707e-18,7.166817e-16,2.111998e-14,2.652993e-13,1.935367e-12,9.744304e-12,-8.562839e-10,-3.439105e-09,-1.171674e-08,-3.384934e-08,-8.792658e-08,-2.037066e-07,-4.313041e-07,-8.489208e-07,-1.576261e-06,-2.777462e-06,-4.681176e-06,-3.884674e-05,-1.837939e-04,-5.973219e-04,-1.481254e-03,-3.012924e-03,-5.294155e-03,-8.340282e-03,-1.209689e-02,-1.646599e-02,-2.132942e-02,-2.656592e-02,-3.206160e-02,-3.771539e-02,-4.344117e-02,-4.916840e-02,-5.493473e-02
GW047921_ECON_119,4.038610e+05,6.456639e+06,-6.482396e-40,8.771366e-39,2.208699e-37,2.463248e-36,1.844324e-31,5.828269e-28,1.992990e-25,1.714468e-23,5.896158e-22,-3.066486e-19,-8.303314e-19,-8.374322e-19,3.376238e-18,2.178347e-17,6.985532e-17,1.328949e-16,-1.799121e-17,-1.497954e-15,-8.274217e-15,-3.275751e-14,-5.219036e-12,-5.977762e-10,-1.170150e-08,-9.517981e-08,-4.783544e-07,-1.794005e-06,-5.482171e-06,-2.196005e-04,-1.611309e-03,-5.604879e-03,-1.298947e-02,-2.342530e-02,-3.592413e-02,-4.944353e-02,-6.315454e-02,-7.648692e-02,-8.908955e-02,-1.007715e-01,-1.114509e-01,-1.211161e-01,-1.297988e-01,-1.375564e-01,-1.444555e-01
GW050402_ECON_182,4.031340e+05,6.420263e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.773598e-37,3.080996e-37,4.715170e-37,5.040399e-37,4.922039e-37,4.799811e-37,4.312097e-37,-4.274945e-13,-3.514624e-12,-1.863653e-11,-7.776325e-11,-2.737915e-10,-8.390725e-10,-2.286344e-09,-5.638234e-09,-1.277909e-08,-2.696178e-08,-5.349821e-08,-8.347129e-07,-6.166665e-06,-2.848643e-05,-9.461803e-05,-2.464410e-04,-5.345280e-04,-1.008255e-03,-1.707232e-03,-2.656606e-03,-3.866209e-03,-5.332302e-03,-7.040549e-03,-8.969226e-03,-1.109212e-02,-1.338090e-02,-1.581446e-02
