# Easting,Northing,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21,t=22,t=23,t=24,t=25,t=26,t=27,t=32,t=37,t=42,t=47,t=52,t=57,t=62,t=67,t=72,t=77,t=82,t=87,t=92,t=97,t=102,t=107
 402645.95,6422241.31,1.70407e-67,3.73379e-67,8.78684e-67,1.82809e-66,3.68705e-66,7.28327e-66,1.40526e-65,-2.89481e-25,-1.31834e-22,-7.31266e-17,-8.99360e-14,-6.98357e-12,-1.37140e-10,-1.22990e-09,-6.74241e-09,-2.64883e-08,-4.07723e-07,-1.12565e-06,-2.71116e-06,-5.58774e-06,-1.11522e-05,-2.03396e-05,-3.48274e-05,-5.66350e-05,-8.95888e-05,-1.35601e-04,-1.98956e-04,-9.54348e-04,-2.95239e-03,-6.76051e-03,-1.25581e-02,-2.01403e-02,-2.90903e-02,-3.89419e-02,-4.92736e-02,-5.97448e-02,-7.00991e-02,-8.01546e-02,-8.97890e-02,-9.89259e-02,-1.07523e-01,-1.15561e-01,-1.22971e-01
 403256.35,6423427.24,1.99398e-65,4.20519e-65,9.61229e-65,1.93213e-64,3.77713e-64,7.31307e-64,1.42404e-63,2.96106e-21,-1.34580e-17,-7.56569e-13,-1.96660e-10,-6.13085e-09,-6.62859e-08,-3.90005e-07,-1.55802e-06,-4.77146e-06,-1.22934e-05,-2.70884e-05,-5.36771e-05,-9.76935e-05,-1.66625e-04,-2.68853e-04,-4.14879e-04,-6.17155e-04,-8.90758e-04,-1.25010e-03,-1.71175e-03,-6.08701e-03,-1.47727e-02,-2.77470e-02,-4.38787e-02,-6.17417e-02,-8.01252e-02,-9.81745e-02,-1.15355e-01,-1.31368e-01,-1.46077e-01,-1.59448e-01,-1.71510e-01,-1.82326e-01,-1.91978e-01,-2.00558e-01,-2.08014e-01
 403727.24,6422904.04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.20315e-35,-3.54260e-35,-6.41621e-35,-9.44942e-35,-1.32853e-34,-1.86215e-34,-2.58582e-34,-2.31112e-07,-6.70797e-07,-1.68563e-06,-3.58136e-06,-7.36274e-06,-1.37634e-05,-2.40805e-05,-3.99015e-05,-6.41439e-05,-9.85170e-05,-1.46474e-04,-7.40548e-04,-2.38485e-03,-5.63695e-03,-1.07376e-02,-1.75691e-02,-2.57885e-02,-3.49774e-02,-4.47381e-02,-5.47371e-02,-6.47150e-02,-7.44817e-02,-8.39042e-02,-9.28951e-02,-1.01401e-01,-1.09395e-01,-1.16797e-01
 404651.57,6423427.24,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.36329e-36,-6.31700e-36,-1.29599e-35,-2.23533e-35,-3.48620e-35,-5.17266e-35,-7.46367e-35,-2.58411e-08,-8.67886e-08,-2.47210e-07,-5.93617e-07,-1.32697e-06,-2.68951e-06,-5.06791e-06,-8.98547e-06,-1.52335e-05,-2.46535e-05,-3.84548e-05,-2.35087e-04,-8.78514e-04,-2.34705e-03,-4.94659e-03,-8.79888e-03,-1.38416e-02,-1.98915e-02,-2.67128e-02,-3.40658e-02,-4.17342e-02,-4.95355e-02,-5.73241e-02,-6.49875e-02,-7.24425e-02,-7.96295e-02,-8.64655e-02
 404180.68,6427089.68,6.37356e-65,1.32037e-64,2.98974e-64,6.02116e-64,1.23747e-63,2.85178e-63,7.90005e-63,4.60966e-20,-2.66641e-15,-2.34010e-11,-2.62238e-09,-5.06534e-08,-4.03322e-07,-1.91873e-06,-6.54758e-06,-1.77532e-05,-4.14334e-05,-8.42353e-05,-1.56506e-04,-2.70305e-04,-4.41580e-04,-6.86481e-04,-1.02600e-03,-1.48492e-03,-2.09283e-03,-2.87276e-03,-3.85396e-03,-1.25926e-02,-2.87140e-02,-5.15087e-02,-7.86909e-02,-1.07785e-01,-1.36842e-01,-1.64577e-01,-1.90250e-01,-2.13511e-01,-2.34260e-01,-2.52551e-01,-2.68522e-01,-2.82355e-01,-2.94248e-01,-3.04397e-01,-3.12886e-01
 404494.61,6424927.10,6.15831e-66,1.31685e-65,3.04237e-65,6.19706e-65,1.22899e-64,2.42307e-64,4.87373e-64,-9.74204e-24,-5.88977e-19,-6.41171e-14,-2.47402e-11,-9.97572e-10,-1.29231e-08,-8.69666e-08,-3.85749e-07,-1.28556e-06,-3.77241e-06,-8.91919e-06,-1.87886e-05,-3.58960e-05,-6.41941e-05,-1.07878e-04,-1.72555e-04,-2.64937e-04,-3.94098e-04,-5.68120e-04,-7.97686e-04,-3.17108e-03,-8.45600e-03,-1.71866e-02,-2.90143e-02,-4.30855e-02,-5.84582e-02,-7.43259e-02,-9.00829e-02,-1.05313e-01,-1.19753e-01,-1.33252e-01,-1.45738e-01,-1.57194e-01,-1.67637e-01,-1.77108e-01,-1.85525e-01
 403657.48,6425066.62,4.05702e-64,8.15068e-64,1.81086e-63,3.60951e-63,7.65449e-63,1.94733e-62,5.78495e-62,-1.09659e-17,-2.17516e-12,-2.56258e-09,-1.05662e-07,-1.12294e-06,-5.98979e-06,-2.12716e-05,-5.78632e-05,-1.30939e-04,-2.60028e-04,-4.68794e-04,-7.84682e-04,-1.23795e-03,-1.86473e-03,-2.70783e-03,-3.81544e-03,-5.23481e-03,-7.00909e-03,-9.17474e-03,-1.17615e-02,-3.12699e-02,-6.02393e-02,-9.44184e-02,-1.29621e-01,-1.63149e-01,-1.93651e-01,-2.20632e-01,-2.44074e-01,-2.64190e-01,-2.81295e-01,-2.95728e-01,-3.07818e-01,-3.17871e-01,-3.26159e-01,-3.32920e-01,-3.38448e-01
 404285.32,6426304.87,6.00437e-65,1.24276e-64,2.81231e-64,5.66104e-64,1.16392e-63,2.68927e-63,7.49025e-63,3.94497e-20,-3.22855e-15,-2.52896e-11,-2.68730e-09,-5.03687e-08,-3.93437e-07,-1.84685e-06,-6.23949e-06,-1.67861e-05,-3.88497e-05,-7.86278e-05,-1.45411e-04,-2.50088e-04,-4.06922e-04,-6.30732e-04,-9.40376e-04,-1.35790e-03,-1.90940e-03,-2.61586e-03,-3.50278e-03,-1.13523e-02,-2.57276e-02,-4.59628e-02,-7.00522e-02,-9.58580e-02,-1.21708e-01,-1.46495e-01,-1.69574e-01,-1.90627e-01,-2.09553e-01,-2.26380e-01,-2.41211e-01,-2.54188e-01,-2.65471e-01,-2.75219e-01,-2.84159e-01
 403552.84,6426479.27,2.01852e-63,3.98944e-63,8.98973e-63,1.95693e-62,5.23531e-62,1.73708e-61,4.26167e-61,9.79793e-16,-3.97957e-10,-1.02505e-07,-1.97996e-06,-1.33341e-05,-5.22481e-05,-1.47741e-04,-3.37052e-04,-6.64792e-04,-1.18168e-03,-1.94886e-03,-3.02261e-03,-4.47514e-03,-6.39212e-03,-8.87877e-03,-1.20204e-02,-1.58821e-02,-2.05033e-02,-2.59324e-02,-3.21526e-02,-7.39088e-02,-1.27414e-01,-1.83588e-01,-2.36312e-01,-2.82797e-01,-3.22304e-01,-3.55099e-01,-3.81871e-01,-4.03424e-01,-4.20539e-01,-4.33925e-01,-4.44193e-01,-4.51864e-01,-4.57376e-01,-4.61093e-01,-4.63689e-01
 398198.71,6420846.10,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.27720e-37,8.29028e-37,1.18747e-36,1.06164e-36,7.23378e-37,2.92223e-37,-3.72737e-37,-3.68073e-11,-1.83928e-10,-7.36261e-10,-2.45271e-09,-7.14954e-09,-1.84447e-08,-4.30636e-08,-9.25602e-08,-1.85744e-07,-3.51303e-07,-6.31500e-07,-6.74932e-06,-3.84017e-05,-1.45058e-04,-4.09396e-04,-9.32669e-04,-1.81058e-03,-3.11348e-03,-4.87749e-03,-7.10527e-03,-9.77238e-03,-1.28354e-02,-1.62396e-02,-1.99254e-02,-2.38329e-02,-2.79046e-02,-3.21092e-02
