# Easting,Northing,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21,t=22,t=23,t=24,t=25,t=26,t=27,t=32,t=37,t=42,t=47,t=52,t=57,t=62,t=67,t=72,t=77,t=82,t=87,t=92,t=97,t=102,t=107
 399773.00,6456199.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.70869e-24,-4.25284e-24,-6.74423e-24,-4.18236e-24,9.97387e-24,3.51720e-23,3.70643e-23,-1.74629e-22,-1.77256e-21,-1.16973e-20,-6.70735e-20,-3.38408e-19,-1.50900e-18,-6.01705e-18,-2.17332e-17,-7.19433e-17,-2.20471e-16,-6.30897e-16,-5.45407e-14,-1.85202e-12,-3.28911e-11,-3.52858e-10,-2.53855e-09,-1.33227e-08,-5.44478e-08,-1.82029e-07,-5.16701e-07,-1.28149e-06,-2.84017e-06,-5.72707e-06,-1.06611e-05,-1.85400e-05,-3.19422e-05,-5.00637e-05
 401829.00,6460592.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.07073e-09,-4.71170e-09
 401642.00,6460929.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-8.79076e-10,-2.06877e-09
 401931.00,6460932.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-9.11737e-10,-2.14253e-09
 399499.00,6420443.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-5.30947e-11,-2.65475e-10,-1.05817e-09,-3.48105e-09,-1.00015e-08,-2.54781e-08,-5.88867e-08,-1.25492e-07,-2.49876e-07,-4.69159e-07,-8.37712e-07,-8.71760e-06,-4.85363e-05,-1.79525e-04,-4.96269e-04,-1.10863e-03,-2.11413e-03,-3.57830e-03,-5.52816e-03,-7.95572e-03,-1.08263e-02,-1.40881e-02,-1.76799e-02,-2.15376e-02,-2.55988e-02,-2.98049e-02,-3.41022e-02
 402272.00,6406827.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-5.23882e-28,-1.18301e-14
 402936.00,6408343.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.43503e-27,-8.38652e-13
 399805.00,6434366.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.79055e-24,8.38080e-24,1.35983e-23,1.89372e-23,3.16735e-23,5.43130e-23,6.47060e-23,-2.28607e-10,-1.04318e-09,-3.84631e-09,-1.17947e-08,-3.19723e-08,-7.72990e-08,-1.70499e-07,-3.48381e-07,-6.68115e-07,-1.21219e-06,-2.09796e-06,-1.93151e-05,-9.82396e-05,-3.37427e-04,-8.76163e-04,-1.85562e-03,-3.38068e-03,-5.50154e-03,-8.21517e-03,-1.14775e-02,-1.52185e-02,-1.93553e-02,-2.38019e-02,-2.84760e-02,-3.33023e-02,-3.82149e-02,-4.31555e-02
 403861.00,6456639.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-5.92586e-25,-2.80526e-24,-5.65243e-24,-6.45098e-24,7.45929e-25,1.93710e-23,3.11220e-23,-9.18044e-23,-1.15886e-21,-7.89198e-21,-4.54870e-20,-2.29824e-19,-1.02641e-18,-4.10121e-18,-1.48514e-17,-4.93177e-17,-1.51731e-16,-4.36355e-16,-3.94957e-14,-1.43906e-12,-2.71762e-11,-3.03228e-10,-2.22885e-09,-1.18180e-08,-4.84782e-08,-1.62074e-07,-4.59142e-07,-1.13534e-06,-2.50773e-06,-5.03942e-06,-9.35048e-06,-1.62124e-05,-2.80000e-05,-4.38189e-05
 403134.00,6420263.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-5.59173e-13,-3.97125e-12,-2.10792e-11,-8.91286e-11,-3.16420e-10,-9.71496e-10,-2.64754e-09,-6.53217e-09,-1.48207e-08,-3.13029e-08,-6.21670e-08,-9.72529e-07,-7.19035e-06,-3.31566e-05,-1.09677e-04,-2.84106e-04,-6.12627e-04,-1.14908e-03,-1.93571e-03,-2.99843e-03,-4.34623e-03,-5.97339e-03,-7.86284e-03,-9.98976e-03,-1.23247e-02,-1.48362e-02,-1.74926e-02
