# FaultID,X,Y,Top Coal Seam
 1, 400074.60,6437807.82,10
 1, 400225.92,6438345.41,10
 2, 402506.23,6448470.21, 8
 2, 402228.43,6449530.32, 8
 3, 398202.91,6445052.77, 9
 3, 398111.79,6445621.18, 9
 4, 401967.22,6455573.88, 2
 4, 401608.89,6456541.58, 2
 5, 402311.01,6456542.10, 1
 5, 402679.25,6457546.61, 1
 6, 398269.26,6442427.24, 7
 6, 398511.61,6443086.20, 7
 7, 398867.49,6442782.99, 7
 7, 399245.04,6443718.14, 7
 8, 399927.59,6456787.42, 4
 8, 400193.29,6457842.21, 4
 9, 400371.85,6455026.18, 3
 9, 399915.69,6456240.37, 3
10, 400873.33,6443426.42, 7
10, 400954.87,6443938.05, 7
11, 400002.34,6446513.52, 4
11, 399850.73,6447251.54, 4
12, 402315.47,6442503.17, 9
12, 402429.98,6443509.80, 9
13, 400617.34,6457270.40, 5
13, 400377.53,6458000.35, 5
14, 400347.53,6454704.43, 8
14, 400385.15,6455354.90, 8
15, 401228.62,6442779.44, 5
15, 401028.69,6443652.37, 5
16, 399943.23,6440454.94, 6
16, 400149.18,6441405.68, 6
17, 400446.88,6442949.68, 4
17, 400574.16,6443793.29, 4
18, 398109.18,6441633.09, 8
18, 398102.33,6442642.78, 8
19, 401077.04,6456145.31, 8
19, 401299.51,6456859.35, 8
20, 398242.01,6440700.86, 2
20, 398345.89,6441513.88, 2
21, 399181.32,6450238.83, 9
21, 399281.90,6450836.92, 9
22, 400303.54,6451076.98, 4
22, 400550.51,6452249.96, 4
23, 403315.41,6438075.02, 4
23, 403193.91,6439089.71, 4
24, 403846.99,6440821.04, 2
24, 403773.35,6441727.11, 2
25, 400557.97,6456907.67, 9
25, 400507.62,6457841.19, 9
26, 399905.41,6441260.54, 4
26, 399701.13,6442536.08, 4
27, 399569.27,6439389.13, 7
27, 399436.80,6440386.39, 7
28, 400517.69,6449807.09, 6
28, 400337.44,6450378.73, 6
29, 398875.33,6447042.50,10
29, 398821.69,6447909.19,10
30, 402266.44,6441418.16, 3
30, 402155.80,6442271.23, 3
31, 402575.58,6453100.05,10
31, 402712.91,6454665.44,10
32, 399231.68,6451752.68, 5
32, 399230.11,6452622.09, 5
33, 401881.44,6438230.03,10
33, 402003.67,6438800.79,10
34, 402322.91,6454159.13, 9
34, 402356.78,6454777.45, 9
35, 400184.93,6453585.18, 8
35, 399988.50,6454584.06, 8
36, 403231.81,6455029.35, 7
36, 403475.95,6456167.93, 7
37, 404126.27,6454594.72, 4
37, 404130.04,6456101.73, 4
38, 398023.91,6441073.42, 1
38, 398026.00,6441960.35, 1
39, 397905.38,6450846.25, 8
39, 398049.97,6451740.68, 8
40, 399468.21,6450334.37, 5
40, 399534.66,6451070.04, 5
