# FaultID,X,Y,Top Coal Seam
 1, 401031.32,6448763.47, 8
 1, 400941.94,6449932.71, 8
 2, 401138.25,6448517.88, 4
 2, 400712.80,6449566.94, 4
 3, 399785.55,6451869.69, 1
 3, 399778.28,6452546.89, 1
 4, 403297.51,6437304.08, 5
 4, 403759.95,6438489.54, 5
 5, 399229.93,6451046.83, 5
 5, 398956.28,6451796.27, 5
 6, 402259.64,6452145.78, 6
 6, 401857.25,6453541.77, 6
 7, 400336.42,6439857.80, 8
 7, 400157.50,6440358.19, 8
 8, 401867.58,6453561.77, 1
 8, 401726.76,6454059.30, 1
 9, 403993.70,6445415.15, 6
 9, 404071.37,6446731.95, 6
10, 399533.39,6444841.57, 5
10, 399457.50,6445453.47, 5
11, 399970.42,6441957.14, 1
11, 400003.17,6443010.80, 1
12, 398308.48,6450097.74, 2
12, 398577.57,6450872.79, 2
13, 401719.83,6453261.19,10
13, 401926.87,6453761.23,10
14, 398545.93,6447298.94, 8
14, 398607.55,6448225.69, 8
15, 402931.71,6444972.50, 7
15, 402905.01,6445758.02, 7
16, 404482.14,6450426.96, 7
16, 404609.14,6451666.83, 7
17, 400455.38,6450857.58, 8
17, 400300.93,6451866.17, 8
18, 399399.98,6448612.07, 7
18, 399577.86,6449186.08, 7
19, 398466.57,6450198.75, 4
19, 398488.24,6450708.79, 4
20, 398308.26,6452054.79, 6
20, 398548.03,6452788.32, 6
21, 401921.09,6449329.76, 4
21, 402024.31,6449868.60, 4
22, 397781.88,6443915.77,10
22, 397997.20,6444749.79,10
23, 401204.28,6447463.04, 5
23, 401346.77,6447953.87, 5
24, 399830.41,6453714.92, 7
24, 399559.41,6454765.11, 7
25, 403471.67,6452690.52, 6
25, 403458.59,6453274.39, 6
26, 403294.13,6450510.13, 6
26, 402953.93,6451457.46, 6
27, 401091.85,6452451.40, 4
27, 401270.67,6453136.45, 4
28, 398811.26,6450158.31, 4
28, 398331.08,6451330.12, 4
29, 399836.21,6449532.08, 7
29, 399661.79,6450203.09, 7
30, 398011.62,6442351.64, 8
30, 398496.11,6443699.27, 8
31, 401352.60,6445404.56, 9
31, 401190.96,6446197.96, 9
32, 401405.78,6448153.49, 9
32, 401333.14,6448717.57, 9
33, 404120.11,6451757.06, 6
33, 404128.70,6452317.46, 6
34, 400508.96,6452558.75, 5
34, 400832.88,6453387.48, 5
35, 400793.47,6452954.49, 2
35, 400992.21,6453463.03, 2
36, 398833.68,6451226.25, 8
36, 398538.53,6451993.11, 8
37, 402158.15,6456356.11, 3
37, 402554.14,6457422.59, 3
38, 397250.21,6446765.72, 5
38, 397649.36,6447964.69, 5
39, 400224.60,6440826.38, 5
39, 400266.42,6441412.32, 5
40, 403835.48,6443169.28, 2
40, 404056.96,6443964.71, 2
