# FaultID,X,Y,Top Coal Seam
 1, 401498.52,6455943.64, 5
 1, 401623.58,6456703.18, 5
 2, 400832.28,6450456.56, 9
 2, 400671.09,6451262.40, 9
 3, 398265.09,6440764.53, 6
 3, 398057.07,6442243.07, 6
 4, 400287.18,6444274.92, 6
 4, 400676.61,6445289.91, 6
 5, 401076.64,6443437.76, 6
 5, 400879.13,6444079.90, 6
 6, 399909.40,6445234.38, 5
 6, 399497.58,6446303.80, 5
 7, 398747.42,6437733.85, 8
 7, 398793.15,6438536.33, 8
 8, 403425.10,6441673.81, 1
 8, 403663.79,6442288.79, 1
 9, 398739.60,6446558.83, 4
 9, 398552.20,6447750.37, 4
10, 400891.41,6442533.95, 2
10, 400858.73,6443181.72, 2
11, 397727.18,6450054.74, 3
11, 397687.23,6450943.93, 3
12, 402701.32,6442740.22, 1
12, 402603.80,6444013.74, 1
13, 402578.80,6443432.78, 8
13, 402483.86,6444226.44, 8
14, 399899.11,6455553.60, 3
14, 399660.00,6456908.95, 3
15, 399342.51,6450385.85, 3
15, 399370.04,6450931.07, 3
16, 404569.49,6449570.14,10
16, 404313.31,6450686.09,10
17, 398843.69,6437572.99, 7
17, 398921.11,6438469.04, 7
18, 401834.17,6456898.21, 8
18, 401586.47,6457700.06, 8
19, 403324.81,6442966.01, 1
19, 403405.69,6443594.33, 1
20, 403793.90,6443326.95, 8
20, 403943.14,6444171.13, 8
21, 403458.72,6452595.26, 3
21, 403257.11,6453209.66, 3
22, 399934.65,6450779.38, 4
22, 399919.94,6452185.44, 4
23, 398218.12,6446346.95, 5
23, 397929.12,6447049.24, 5
24, 399636.22,6450256.71, 9
24, 399939.19,6451624.60, 9
25, 399845.52,6440251.06, 1
25, 399660.28,6441166.86, 1
26, 398853.70,6443240.37,10
26, 398964.16,6443843.88,10
27, 404122.11,6452397.01, 6
27, 404076.07,6453007.91, 6
28, 400937.71,6453642.92,10
28, 400987.42,6454210.98,10
29, 403527.48,6440307.38, 5
29, 403550.77,6440936.83, 5
30, 400468.28,6446181.25, 5
30, 400702.20,6446923.08, 5
31, 400721.31,6444100.63,10
31, 401149.04,6445197.23,10
32, 400909.58,6451867.48, 1
32, 401066.74,6453109.25, 1
33, 398457.47,6443956.87, 5
33, 398355.78,6444571.45, 5
34, 404273.55,6447322.94,10
34, 404287.91,6447851.35,10
35, 401396.73,6447201.78, 9
35, 401614.02,6448375.14, 9
36, 399023.38,6450095.63, 9
36, 399161.97,6450683.78, 9
37, 398031.62,6448323.12, 4
37, 398150.38,6449082.87, 4
38, 402729.34,6456688.87, 7
38, 402813.49,6457321.36, 7
39, 402004.65,6446972.83, 7
39, 402195.41,6447506.42, 7
40, 401279.26,6444622.29, 6
40, 401418.47,6445291.63, 6
